Date,avengers,blackpanther,starwars,jurassicworld
06/12/2015,,,,81.95395
06/13/2015,,,,69.64483
06/14/2015,,,,57.20749
06/15/2015,,,,25.34482
06/16/2015,,,,24.342515
06/17/2015,,,,19.89547
06/18/2015,,,,17.82258
06/19/2015,,,,29.114435
06/20/2015,,,,39.112435
06/21/2015,,,,38.36154
06/22/2015,,,,11.566225
06/23/2015,,,,13.13046
06/24/2015,,,,9.4402
06/25/2015,,,,8.903825
06/26/2015,,,,14.692885
06/27/2015,,,,22.48029
06/28/2015,,,,17.35944
06/29/2015,,,,6.52638
06/30/2015,,,,7.474355
07/01/2015,,,,5.98815
07/02/2015,,,,6.93865
07/03/2015,,,,11.827605
07/04/2015,,,,8.539045
07/05/2015,,,,8.875375
07/06/2015,,,,4.14905
07/07/2015,,,,4.839415
07/08/2015,,,,3.755685
07/09/2015,,,,3.25119
07/10/2015,,,,5.419575
07/11/2015,,,,7.43256
07/12/2015,,,,5.29914
12/15/2017,,,104.684491,
12/16/2017,,,63.993205,
12/17/2017,,,51.331888,
12/18/2017,,,21.556373,
12/19/2017,,,20.254189,
12/20/2017,,,16.889863,
12/21/2017,,,17.892347,
12/22/2017,,,24.763084,
12/23/2017,,,29.172415,
12/24/2017,,,17.629999,
12/25/2017,,,27.459557,
12/26/2017,,,27.734356,
12/27/2017,,,21.846132,
12/28/2017,,,19.490329,
12/29/2017,,,19.02925,
12/30/2017,,,19.924241,
12/31/2017,,,13.566649,
01/01/2018,,,14.293461,
01/02/2018,,,7.876574,
01/03/2018,,,5.225332,
01/04/2018,,,4.348867,
01/05/2018,,,6.523473,
01/06/2018,,,10.398845,
01/07/2018,,,6.806626,
01/08/2018,,,1.791497,
01/09/2018,,,2.368317,
01/10/2018,,,1.744275,
01/11/2018,,,1.678949,
01/12/2018,,,2.670813,
01/13/2018,,,4.990298,
01/14/2018,,,4.19337,
01/15/2018,,,2.77324,
02/16/2018,,75.941146,,
02/17/2018,,65.995366,,
02/18/2018,,60.067439,,
02/19/2018,,40.151729,,
02/20/2018,,20.857361,,
02/21/2018,,14.688057,,
02/22/2018,,14.253324,,
02/23/2018,,28.789877,,
02/24/2018,,47.553478,,
02/25/2018,,35.31548,,
02/26/2018,,8.098481,,
02/27/2018,,10.204038,,
02/28/2018,,6.87657,,
03/01/2018,,6.607691,,
03/02/2018,,16.257536,,
03/03/2018,,30.052665,,
03/04/2018,,19.996734,,
03/05/2018,,4.720738,,
03/06/2018,,6.258583,,
03/07/2018,,3.941783,,
03/08/2018,,4.251525,,
03/09/2018,,10.018784,,
03/10/2018,,18.352112,,
03/11/2018,,12.446683,,
03/12/2018,,4.035653,,
03/13/2018,,5.167907,,
03/14/2018,,3.843374,,
03/15/2018,,3.632414,,
03/16/2018,,7.48238,,
04/26/2019,157.461641,,,
04/27/2019,109.264122,,,
04/28/2019,90.389244,,,
04/29/2019,36.874439,,,
04/30/2019,33.110349,,,
05/01/2019,25.251991,,,
05/02/2019,21.542852,,,
05/03/2019,40.736774,,,
05/04/2019,61.527049,,,
05/05/2019,45.119388,,,
05/06/2019,10.709607,,,
05/07/2019,12.518963,,,
05/08/2019,8.429166,,,
05/09/2019,7.510154,,,
05/10/2019,16.190479,,,
05/11/2019,27.542359,,,
05/12/2019,19.567066,,,
05/13/2019,4.702092,,,
05/14/2019,5.742618,,,
05/15/2019,3.788021,,,
05/16/2019,3.416496,,,
05/17/2019,7.470727,,,
05/18/2019,12.903478,,,
05/19/2019,9.5993,,,
05/20/2019,3.16224,,,
05/21/2019,2.900871,,,
05/22/2019,1.994512,,,
05/23/2019,1.905738,,,
05/24/2019,4.278676,,,
05/25/2019,6.452368,,,
05/26/2019,6.469698,,,
