Rank,Title,Genre,Year,Revenue (Millions),Metascore,Votes
1,Guardians of the Galaxy,"Action,Adventure,Sci-Fi",2014,333.13,76,757074
2,Prometheus,"Adventure,Mystery,Sci-Fi",2012,126.46,65,485820
3,Split,"Horror,Thriller",2016,138.12,62,157606
4,Sing,"Animation,Comedy,Family",2016,270.32,59,60545
5,Suicide Squad,"Action,Adventure,Fantasy",2016,325.02,40,393727
6,The Great Wall,"Action,Adventure,Fantasy",2016,45.13,42,56036
7,La La Land,"Comedy,Drama,Music",2016,151.06,93,258682
8,Mindhorn,Comedy,2016,,71,2490
9,The Lost City of Z,"Action,Adventure,Biography",2016,8.01,78,7188
10,Passengers,"Adventure,Drama,Romance",2016,100.01,41,192177
11,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",2016,234.02,66,232072
12,Hidden Figures,"Biography,Drama,History",2016,169.27,74,93103
13,Rogue One,"Action,Adventure,Sci-Fi",2016,532.17,65,323118
14,Moana,"Animation,Adventure,Comedy",2016,248.75,81,118151
15,Colossal,"Action,Comedy,Drama",2016,2.87,70,8612
16,The Secret Life of Pets,"Animation,Adventure,Comedy",2016,368.31,61,120259
17,Hacksaw Ridge,"Biography,Drama,History",2016,67.12,71,211760
18,Jason Bourne,"Action,Thriller",2016,162.16,58,150823
19,Lion,"Biography,Drama",2016,51.69,69,102061
20,Arrival,"Drama,Mystery,Sci-Fi",2016,100.5,81,340798
21,Gold,"Adventure,Drama,Thriller",2016,7.22,49,19053
22,Manchester by the Sea,Drama,2016,47.7,96,134213
23,Hounds of Love,"Crime,Drama,Horror",2016,,72,1115
24,Trolls,"Animation,Adventure,Comedy",2016,153.69,56,38552
25,Independence Day: Resurgence,"Action,Adventure,Sci-Fi",2016,103.14,32,127553
26,Paris pieds nus,Comedy,2016,,,222
27,Bahubali: The Beginning,"Action,Adventure,Drama",2015,6.5,,76193
28,Dead Awake,"Horror,Thriller",2016,0.01,,523
29,Bad Moms,Comedy,2016,113.08,60,66540
30,Assassin's Creed,"Action,Adventure,Drama",2016,54.65,36,112813
31,Why Him?,Comedy,2016,60.31,39,48123
32,Nocturnal Animals,"Drama,Thriller",2016,10.64,67,126030
33,X-Men: Apocalypse,"Action,Adventure,Sci-Fi",2016,155.33,52,275510
34,Deadpool,"Action,Adventure,Comedy",2016,363.02,65,627797
35,Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi",2016,26.84,49,46165
36,Captain America: Civil War,"Action,Adventure,Sci-Fi",2016,408.08,75,411656
37,Interstellar,"Adventure,Drama,Sci-Fi",2014,187.99,74,1047747
38,Doctor Strange,"Action,Adventure,Fantasy",2016,232.6,72,293732
39,The Magnificent Seven,"Action,Adventure,Western",2016,93.38,54,122853
40,05/25/1977,"Comedy,Drama",2007,,,241
41,Sausage Party,"Animation,Adventure,Comedy",2016,97.66,66,120690
42,Moonlight,Drama,2016,27.85,99,135095
43,Don't Fuck in the Woods,Horror,2016,,,496
44,The Founder,"Biography,Drama,History",2016,12.79,66,37033
45,Lowriders,Drama,2016,4.21,57,279
46,Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",2011,241.06,45,395025
47,Miss Sloane,"Drama,Thriller",2016,3.44,64,17818
48,Fallen,"Adventure,Drama,Fantasy",2016,,,5103
49,Star Trek Beyond,"Action,Adventure,Sci-Fi",2016,158.8,68,164567
50,The Last Face,Drama,2016,,16,987
51,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy",2015,936.63,81,661608
52,Underworld: Blood Wars,"Action,Adventure,Fantasy",2016,30.35,23,41362
53,Mother's Day,"Comedy,Drama",2016,32.46,18,20221
54,John Wick,"Action,Crime,Thriller",2014,43,68,321933
55,The Dark Knight,"Action,Crime,Drama",2008,533.32,82,1791916
56,Silence,"Adventure,Drama,History",2016,7.08,79,49190
57,Don't Breathe,"Crime,Horror,Thriller",2016,89.21,71,121103
58,Me Before You,"Drama,Romance",2016,56.23,51,113322
59,Their Finest,"Comedy,Drama,Romance",2016,3.18,76,3739
60,Sully,"Biography,Drama",2016,125.07,74,137608
61,Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi",2016,330.25,44,472307
62,The Autopsy of Jane Doe,"Horror,Mystery,Thriller",2016,,65,35870
63,The Girl on the Train,"Crime,Drama,Mystery",2016,75.31,48,102177
64,Fifty Shades of Grey,"Drama,Romance,Thriller",2015,166.15,46,244474
65,The Prestige,"Drama,Mystery,Sci-Fi",2006,53.08,66,913152
66,Kingsman: The Secret Service,"Action,Adventure,Comedy",2014,128.25,58,440209
67,Patriots Day,"Drama,History,Thriller",2016,31.86,69,39784
68,Mad Max: Fury Road,"Action,Adventure,Sci-Fi",2015,153.63,90,632842
69,Wakefield,Drama,2016,0.01,61,291
70,Deepwater Horizon,"Action,Drama,Thriller",2016,61.28,68,89849
71,The Promise,"Drama,History",2016,,49,149791
72,Allied,"Action,Drama,Romance",2016,40.07,60,78079
73,A Monster Calls,"Drama,Fantasy",2016,3.73,76,39134
74,Collateral Beauty,"Drama,Romance",2016,30.98,23,43977
75,Zootopia,"Animation,Adventure,Comedy",2016,341.26,78,296853
76,Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",2007,309.4,50,498821
77,The Avengers,"Action,Sci-Fi",2012,623.28,69,1045588
78,Inglourious Basterds,"Adventure,Drama,War",2009,120.52,69,959065
79,Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy",2006,423.03,53,552027
80,Ghostbusters,"Action,Comedy,Fantasy",2016,128.34,60,147717
81,Inception,"Action,Adventure,Sci-Fi",2010,292.57,74,1583625
82,Captain Fantastic,"Comedy,Drama",2016,5.88,72,105081
83,The Wolf of Wall Street,"Biography,Comedy,Crime",2013,116.87,75,865134
84,Gone Girl,"Crime,Drama,Mystery",2014,167.74,79,636243
85,Furious Seven,"Action,Crime,Thriller",2015,350.03,67,301249
86,Jurassic World,"Action,Adventure,Sci-Fi",2015,652.18,59,455169
87,Live by Night,"Crime,Drama",2016,10.38,49,27869
88,Avatar,"Action,Adventure,Fantasy",2009,760.51,83,935408
89,The Hateful Eight,"Crime,Drama,Mystery",2015,54.12,68,341170
90,The Accountant,"Action,Crime,Drama",2016,86.2,51,162122
91,Prisoners,"Crime,Drama,Mystery",2013,60.96,74,431185
92,Warcraft,"Action,Adventure,Fantasy",2016,47.17,32,187547
93,The Help,Drama,2011,169.71,62,342429
94,War Dogs,"Comedy,Crime,Drama",2016,43.02,57,106463
95,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",2015,458.99,66,516895
96,The Nice Guys,"Action,Comedy,Crime",2016,36.25,70,175067
97,Kimi no na wa,"Animation,Drama,Fantasy",2016,4.68,79,34110
98,The Void,"Horror,Mystery,Sci-Fi",2016,0.15,62,9247
99,Personal Shopper,"Drama,Mystery,Thriller",2016,1.29,77,10181
100,The Departed,"Crime,Drama,Thriller",2006,132.37,85,937414
101,Legend,"Biography,Crime,Drama",2015,1.87,55,108836
102,Thor,"Action,Adventure,Fantasy",2011,181.02,57,570814
103,The Martian,"Adventure,Drama,Sci-Fi",2015,228.43,80,556097
104,Contratiempo,"Crime,Mystery,Thriller",2016,,,7204
105,The Man from U.N.C.L.E.,"Action,Adventure,Comedy",2015,45.43,56,202973
106,Hell or High Water,"Crime,Drama,Thriller",2016,26.86,88,115546
107,The Comedian,Comedy,2016,1.66,40,1954
108,The Legend of Tarzan,"Action,Adventure,Drama",2016,126.59,44,117590
109,All We Had,Drama,2016,,48,1004
