,0,1,2,3,4,5
Call of Duty: WWII,0,7456077,3598796,1006291,286250,201183
Battlefield 1,0,3187191,1526362,1336758,148358,165439
1-2-Switch,0,325758,156380,94527,69155,76898
Pokemon Ultra Sun and Ultra Moon,0,3991930,1470634,211655,178607,140912
Call of Duty: Infinite Warfare,0,2096648,1621370,264923,121722,130342
FIFA 18,0,6497016,858262,1766534,1186088,237602
Donkey Kong Country: Tropical Freeze ,0,606107,201996,117213,101029,82526
God of War,0,3611035,505391,359910,211086,155831
Star Wars Battlefront II,0,1971599,1518592,138260,119831,91361
Tom Clancy's Ghost Recon Wildlands ,0,1571026,291580,162355,126362,111029
