Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,Year
1,Wii Sports,Sports,E,Wii,Nintendo,Nintendo EAD,7.7,,82.86,,2006.0
3,Mario Kart Wii,Racing,E,Wii,Nintendo,Nintendo EAD,8.2,9.1,37.14,,2008.0
5,Wii Sports Resort,Sports,E,Wii,Nintendo,Nintendo EAD,8.0,8.8,33.09,,2009.0
7,New Super Mario Bros.,Platform,E,DS,Nintendo,Nintendo EAD,9.1,8.1,30.8,,2006.0
9,New Super Mario Bros. Wii,Platform,E,Wii,Nintendo,Nintendo EAD,8.6,9.2,30.22,,2009.0
12,Wii Play,Misc,E,Wii,Nintendo,Nintendo EAD,5.9,4.5,28.02,,2007.0
13,Kinect Adventures!,Party,E,X360,Microsoft Game Studios,Good Science Studio,6.7,,24.0,,2010.0
14,Nintendogs,Simulation,E,DS,Nintendo,Nintendo EAD,8.4,,23.96,,2005.0
15,Mario Kart DS,Racing,E,DS,Nintendo,Nintendo EAD,9.1,9.4,23.6,,2005.0
17,Wii Fit,Sports,E,Wii,Nintendo,Nintendo EAD,7.9,,22.67,,2008.0
18,Wii Fit Plus,Sports,E,Wii,Nintendo,Nintendo EAD,8.0,,21.13,,2009.0
20,Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,20.32,20.32,2013.0
21,Grand Theft Auto V,Action,M,PS4,Rockstar Games,Rockstar North,9.7,,19.39,19.39,2014.0
22,Brain Age: Train Your Brain in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD,8.1,,19.01,,2006.0
25,Mario Kart 7,Racing,E,3DS,Nintendo,Nintendo EAD / Retro Studios,8.2,,18.11,,2011.0
26,Pokemon Diamond / Pearl Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,,17.67,,2007.0
29,Pokemon X/Y,Role-Playing,E,3DS,Nintendo,Game Freak,8.9,9.7,16.37,,2013.0
32,Pokemon Sun/Moon,Role-Playing,E,3DS,Nintendo,Game Freak,9.0,,16.14,,2016.0
33,Grand Theft Auto V,Action,M,X360,Rockstar Games,Rockstar North,,,15.86,15.86,2013.0
34,Pokemon Black / White Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,9.0,15.64,,2011.0
35,Call of Duty: Black Ops 3,Shooter,M,PS4,Activision,Treyarch,,,15.09,15.09,2015.0
36,Mario Kart 8 Deluxe,Racing,E,NS,Nintendo,Nintendo EPD,9.3,,15.02,,2017.0
40,Brain Age 2: More Training in Minutes a Day,Misc,E,DS,Nintendo,Nintendo SDD,8.0,,14.88,,2007.0
41,Call of Duty: Modern Warfare 3,Shooter,M,X360,Activision,Infinity Ward,8.7,,14.82,14.82,2011.0
42,Call of Duty: Black Ops,Shooter,M,X360,Activision,Treyarch,8.8,,14.74,14.74,2010.0
44,Halo 3,Shooter,M,X360,Microsoft Game Studios,Bungie Studios,9.6,9.5,14.5,,2007.0
45,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,E,3DS,Nintendo,Game Freak,,,14.17,,2014.0
46,Red Dead Redemption 2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,9.8,,13.94,13.94,2018.0
47,Call of Duty: Black Ops II,Shooter,M,X360,Activision,Treyarch,,,13.86,13.86,2012.0
48,Call of Duty: Black Ops II,Shooter,M,PS3,Activision,Treyarch,,,13.8,13.8,2012.0
49,Super Mario Odyssey,Platform,E10,NS,Nintendo,Nintendo EPD,9.9,,13.76,,2017.0
50,Call of Duty: Modern Warfare 2,Shooter,M,X360,Activision,Infinity Ward,9.5,9.0,13.53,13.53,2009.0
51,Call of Duty: WWII,Shooter,M,PS4,Activision,Sledgehammer Games,8.0,,13.4,13.4,2017.0
52,Call of Duty: Modern Warfare 3,Shooter,M,PS3,Activision,Infinity Ward,8.8,,13.35,13.35,2011.0
53,Super Smash Bros. Brawl,Fighting,T,Wii,Nintendo,Project Sora,9.2,9.7,13.29,,2008.0
55,New Super Mario Bros. 2,Platform,E,3DS,Nintendo,Nintendo,7.5,,13.08,,2012.0
57,Minecraft,Misc,E10,X360,Microsoft Studios,Mojang,,,13.0,,2013.0
58,Super Mario Galaxy,Platform,E,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.6,12.78,,2007.0
59,Pokemon Heart Gold / Soul Silver Version,Role-Playing,E,DS,Nintendo,Game Freak,8.6,,12.72,,2010.0
60,Call of Duty: Black Ops,Shooter,M,PS3,Activision,Treyarch,8.7,,12.67,12.67,2010.0
62,Super Mario 3D Land,Platform,E,3DS,Nintendo,Nintendo EAD Tokyo,8.9,,12.41,,2011.0
63,Animal Crossing: New Leaf,Simulation,E,3DS,Nintendo,Nintendo EAD,8.6,,12.1,,2013.0
64,Super Smash Bros. Ultimate,Fighting,E10,NS,Nintendo,Bandai Namco Games,9.4,9.7,12.08,,2018.0
67,Gran Turismo 5,Racing,E,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,,11.95,,2010.0
69,FIFA 18,Sports,E,PS4,EA Sports,EA Vancouver,8.3,,11.8,11.8,2017.0
71,Animal Crossing: Wild World,Simulation,E,DS,Nintendo,Nintendo EAD,8.5,,11.75,,2005.0
72,The Legend of Zelda: Breath of the Wild,Action-Adventure,E10,NS,Nintendo,Nintendo EPD,9.9,10.0,11.68,,2017.0
74,Grand Theft Auto IV,Action,M,X360,Rockstar Games,Rockstar North,10.0,,11.09,11.09,2008.0
75,Super Mario 64 DS,Platform,E,DS,Nintendo,Nintendo EAD,8.6,,11.06,,2004.0
77,FIFA 17,Sports,E,PS4,Electronic Arts,EA Canada,8.9,,10.94,10.94,2016.0
79,Call of Duty: Modern Warfare 2,Shooter,M,PS3,Activision,Infinity Ward,9.5,,10.61,10.61,2009.0
80,Grand Theft Auto IV,Action,M,PS3,Rockstar Games,Rockstar North,10.0,9.0,10.57,10.57,2008.0
82,Call of Duty: Ghosts,Shooter,M,X360,Activision,Infinity Ward,6.9,,10.41,10.41,2013.0
83,Just Dance 3,Misc,E10,Wii,Ubisoft,Ubisoft Paris,7.5,,10.14,10.14,2011.0
84,Call of Duty: Ghosts,Shooter,M,PS3,Activision,Infinity Ward,7.5,,10.13,10.13,2013.0
85,Horizon: Zero Dawn,Action,T,PS4,Sony Interactive Entertainment,Guerrilla Games,9.1,8.0,10.0,,2017.0
86,"Pokemon: Let's Go, Pikachu/Eevee",Role-Playing,E,NS,Nintendo,Game Freak,,,10.0,,2018.0
88,Halo: Reach,Shooter,M,X360,Microsoft Game Studios,Bungie,9.3,,9.97,9.97,2010.0
90,Halo 4,Shooter,M,X360,Microsoft Studios,343 Industries,,,9.96,9.96,2012.0
94,Super Smash Bros. for 3DS,Fighting,E10,3DS,Nintendo,Bandai Namco Games,8.4,,9.45,,2014.0
95,Call of Duty 4: Modern Warfare,Shooter,M,X360,Activision,Infinity Ward,9.6,9.0,9.41,9.41,2007.0
97,Wii Party,Misc,E,Wii,Nintendo,"Nd Cube Co., Ltd.",7.0,,9.32,,2010.0
98,Call of Duty: Black Ops IIII,Shooter,M,PS4,Activision,Treyarch,,,9.32,9.32,2018.0
99,Mario Party DS,Misc,E,DS,Nintendo,Hudson Soft,7.1,,9.31,,2007.0
101,FIFA 19,Sports,E,PS4,Electronic Arts,EA Sports,,,9.15,9.15,2018.0
103,Marvel's Spider-Man,Action-Adventure,T,PS4,Sony Interactive Entertainment,Insomniac Games,9.1,,9.0,,2018.0
105,The Elder Scrolls V: Skyrim,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,9.3,,8.88,8.88,2011.0
106,Mario Party 8,Misc,E,Wii,Nintendo,Hudson Soft,6.5,,8.85,,2007.0
108,Grand Theft Auto V,Action,M,XOne,Rockstar Games,Rockstar North,9.0,9.0,8.72,8.72,2014.0
109,Uncharted 4: A Thief's End,Action,T,PS4,Sony Interactive Entertainment,Naughty Dog,9.2,,8.7,,2016.0
112,Pokemon Black 2 and White 2,Role-Playing,E,DS,Nintendo,Game Freak,8.0,8.3,8.52,,2012.0
113,Call of Duty: Infinite Warfare,Shooter,M,PS4,Activision,Infinity Ward,,,8.48,8.48,2016.0
114,Fallout 4,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,,8.48,8.48,2015.0
115,Mario Kart 8,Racing,E,WiiU,Nintendo,Nintendo,8.8,,8.42,,2014.0
117,Pokemon: Ultra Sun and Ultra Moon,Role-Playing,E,3DS,Nintendo,Game Freak,8.1,,8.28,,2017.0
118,Splatoon 2,Shooter,E10,NS,Nintendo,Nintendo EPD,8.2,,8.27,,2017.0
119,FIFA 16,Sports,E,PS4,EA Sports,EA Canada,8.5,,8.22,8.22,2015.0
121,Star Wars Battlefront (2015),Shooter,T,PS4,Electronic Arts,EA DICE,7.1,,8.03,8.03,2015.0
122,FIFA 13,Sports,E,PS3,EA Sports,EA Canada,,,8.01,8.01,2012.0
125,Grand Theft Auto: Liberty City Stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,8.8,,7.72,7.72,2005.0
127,Pokemon Platinum Version,Role-Playing,E,DS,Nintendo,Game Freak,8.3,8.9,7.6,,2009.0
130,Call of Duty: Advanced Warfare,Shooter,M,PS4,Activision,Sledgehammer Games,8.5,,7.53,7.53,2014.0
131,Call of Duty: World at War,Shooter,M,X360,Activision,Treyarch,8.5,7.8,7.5,7.5,2008.0
133,Super Mario Galaxy 2,Platform,E,Wii,Nintendo,Nintendo EAD Tokyo,9.7,9.8,7.41,,2010.0
135,Call of Duty: Black Ops 3,Shooter,M,XOne,Activision,Treyarch,,,7.37,7.37,2015.0
136,Battlefield 3,Shooter,M,X360,Electronic Arts,Dice,8.5,,7.35,7.35,2011.0
137,The Legend of Zelda: Twilight Princess,Adventure,T,Wii,Nintendo,Nintendo EAD,9.5,9.6,7.26,,2006.0
138,Battlefield 1,Shooter,M,PS4,Electronic Arts,EA DICE,,,7.26,7.26,2016.0
139,Battlefield 3,Shooter,M,PS3,Electronic Arts,Dice,8.5,,7.21,7.21,2011.0
144,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Role-Playing,E10,3DS,Nintendo,Level 5,,,7.03,,2016.0
146,Just Dance 4,Music,E10,Wii,Ubisoft,Ubisoft,,,6.89,6.89,2012.0
