rank of the week,name,weekly sales,total sales,week after release
1,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
2,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
3,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
4,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
5,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
6,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
7,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
8,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
9,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
10,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
11,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
12,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
13,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
14,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
15,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
16,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
17,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
18,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
19,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
20,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
21,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
22,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
23,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
24,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
25,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
26,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
27,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
28,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
29,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
30,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
31,"Fallout 76 (PS4)Bethesda Softworks, Role-Playing",Pro,N/A,7
32,"Just Dance 2019 (NS)Ubisoft, Music",Pro,N/A,10
33,"Shadow of the Tomb Raider (PS4)Square Enix, Action-Adventure",Pro,N/A,16
34,"Fortnite (NS)Warner Bros. Interactive Entertainment, Shooter",Pro,N/A,7
35,"Fortnite (PS4)Gearbox Software, Action",Pro,N/A,76
