,total,Sports,Shooter,Action,Role-Playing,Platform
2004.0,11.56,0.0,0.0,0.5,0.0,11.06
2005.0,36.88,9.81,6.84,10.98,3.54,5.71
2006.0,215.21,102.11,28.3,22.35,15.64,46.81
2007.0,205.55,17.33,66.78,45.64,38.99,36.81
2008.0,254.94,71.47,60.57,58.27,39.96,24.67
2009.0,335.79,110.91,64.02,76.25,44.13,40.48
2010.0,276.6,51.7,72.22,65.54,59.93,27.21
2011.0,288.49,38.98,86.82,80.36,52.64,29.69
2012.0,62.86,20.9,2.79,6.1,12.6,20.47
2013.0,131.51,11.33,45.61,36.7,26.8,11.07
2014.0,92.53,19.23,32.35,32.77,3.24,4.94
2015.0,95.73,30.13,24.21,8.15,26.79,6.45
2016.0,88.59,29.33,9.42,16.62,29.94,3.28
2017.0,108.72,27.58,28.19,17.09,16.77,19.09
2018.0,50.6,3.68,0.92,23.25,15.75,7.0
2019.0,0.0,0.0,0.0,0.0,0.0,0.0
total,2255.56,544.49,529.04,500.57,386.72,294.74
