,total,X360,PS3,Wii,DS,PS4
2004.0,12.59,0.0,0.0,0.0,12.59,0.0
2005.0,83.77,9.56,0.0,0.0,74.21,0.0
2006.0,249.32,39.37,11.27,100.18,98.5,0.0
2007.0,335.46,80.35,51.83,118.7,84.58,0.0
2008.0,408.02,121.14,106.28,128.46,52.14,0.0
2009.0,431.48,111.37,110.48,154.88,54.75,0.0
2010.0,401.94,161.23,123.28,70.79,46.64,0.0
2011.0,347.44,128.89,151.12,35.44,31.99,0.0
2012.0,48.86,13.23,21.63,5.48,8.52,0.0
2013.0,110.71,29.7,61.29,3.89,0.0,15.83
2014.0,71.83,8.96,10.99,0.0,0.0,51.88
2015.0,55.7,2.6,4.01,0.0,0.0,49.09
2016.0,54.38,0.0,0.0,0.0,0.0,54.38
2017.0,55.46,0.11,0.09,0.0,0.0,55.26
2018.0,52.2,0.0,0.0,0.0,0.0,52.2
2019.0,0.0,0.0,0.0,0.0,0.0,0.0
total,2719.16,706.51,652.27,617.82,463.92,278.64
