,total,Nintendo,Activision,Electronic Arts,Ubisoft
2004.0,12.15,11.06,0.5,0.0,0.59
2005.0,82.98,66.43,5.34,8.63,2.58
2006.0,209.15,171.68,12.7,14.7,10.07
2007.0,193.47,126.29,25.32,20.99,20.87
2008.0,195.64,104.4,36.36,30.57,24.31
2009.0,232.57,117.76,55.5,29.69,29.62
2010.0,161.18,61.46,40.82,33.78,25.12
2011.0,181.51,78.91,36.84,32.32,33.44
2012.0,55.48,43.6,2.17,1.62,8.09
2013.0,136.26,68.17,28.49,15.27,24.33
2014.0,77.97,45.08,24.77,1.84,6.28
2015.0,49.17,29.27,0.59,15.64,3.67
2016.0,50.03,29.5,0.0,16.37,4.16
2017.0,99.54,73.64,13.63,2.91,9.36
2018.0,52.86,39.36,1.11,1.95,10.44
2019.0,0.0,0.0,0.0,0.0,0.0
total,1789.96,1066.61,284.14,226.28,212.93
